tweet_text,label
Jesus Ive actually spent all the money I saved in lockdown on alcohol and taxis in this last week Ahahaha,1
Coronavirus and throat cancer looking after your mental health Throat Cancer Foundation ,1
Me sick at home in Houston w Covid symptoms right now ,1
"Coronavirus pandemic prompts record drop in global emissions, study finds",1
"Coronavirus How can we make postpandemic cities smarter? Will the anthropause brought on by lockdowns make our cities greener, cleaner and quieter in future? ",1
Nearly 70000 new cases of #covid19 today in USAAlmost a certainty next week considering that the daily record has been broken nearly every day this week,0
"Looking back from the year 2035, how did the pandemic revolutionize medicine and transform the way the world is connected? Read Jerry Edlings chapter on The Pandemic and the Medical EnlightenmentThe View from 2035. #aftershocks ",1
I miss living with waking up next to her calling me stupid made lockdown bearable,1
China been wearing masks since day but they sill had high covid cases. Youve been had people,0
Leicester still on lockdown ,1
The bitterest of lockdown battles? The one between a declutterer and a hoarder ,1
Breaking a new UNKNOWN VIRUS DEADLIER THAN COVID is spreading across CHINA ,1
People really still ignoring were in the middle of a global pandemic lol piss off,1
"As lockdown eases amp we resume life let's not forget all those who continue to serve in the #NHS, schools, cleaning our buildings, delivering our food, in our care homes, as well as the many other unsung heroes who have selflessly not stopped in the fight against covid #ThankYou ",2
Update. This little musical device I bought with no experience or understanding of has given me so much peace and joy during lockdown. Every minute I spend with it is like a little bit of kindness sent straight to my soul. Thank you for all the calm. ,2
Its going to be fully privatized. This is that people want. They want a US based system wherea Covid19 test costs 9 000 after a 50 discount. Welcome to a Tory Britain. Boris Johnson plans radical shakeup of NHS in bid to regain more direct control ,0
"Do ur best to always use the best words when speaking to others amp not to resort to insults, name calling amp harshness. This is even more important in the age of the internet. 2day, many dont give a second thought to what they say amp write. #BlueLivesMatter #Public #coronavirus #uk",2
Thinking about the first bump back after lockdown. ,1
"U.S. reports more than 60,500 new COVID19 cases a new oneday worldwide record via keep the border closed",1
"I love the idea that Giovanni, the big evil boss man of Team Rocket, is just kinda chilling out in a hot air balloon right now because of Covid ",1
Meat plants a new front line in the covid19 pandemic via ,1
Has anyone suggested to Ghislaine Maxwell that solitary confinement might be a way to avoid the 'significant' coronavirus risk?,0
Firm with links to Gove and Cummings given Covid19 contract without open tender ,0
Mask? No way..I know covid is caused by 5G so protect myself by having a shitty data plan.,0
"You know, could we just extend that free school meals programme to cover the whole of primary school? DD has been back on packed lunches since coronavirus, which is fortunately fine for us but a struggle for many. So like, from September, then? That would be lovely.",1
London City takes off as a 'summersun' airport ,1
Brilliant. A lockdown well spent for sure... ,2
First posted 01012020 Britains Death Knell #COVID19 #COVID19 #coronavirusuk #pandemic #DailyBriefinguk #LockdownExtended #lockdown #SelfIsolation #selfisolating #selfisolated #QuarantineLife #Quarantine #BorisJohnson #PPE 47,1
"Clueless UK government officials unsure of how to bring News out of #coronavirus lockdown, says via ",0
"National coin shortage Pennies, nickels, dimes and quarters part of latest COVID19 shortage via ",1
"was unconvinced of the need to limit eligibility for another round of coronavirus economic aid checks to people making less than 40,000 annually, ",1
"Banning close relatives from funerals during lockdown was wrong, admits Matt Hancock ",0
Nonsense. I always wear a mask in shops. Especially smaller shops. It's the responsible thing to do. I don't want Covid any more than anybody else thanks. ,2
I sympathise with those who have received this information yesterday. Wales had a small media pool prior to the pandemic and the potential loss of many talented journalists will see it shrink further. It will have a detrimental effect on the industry. ,0
"Now they are saying this virus can spread indoors, the WHO are suggesting a reverse lockdown where people will be locked OUT of their homes for 100 days. #controlavirus ",1
This lockdown was truly a blessing in disguise,2
I feel like lockdown has made me boring ,0
'falling price paid for products had led to a substantial decline in pay rates and working conditions over the past 10 years' BBC News Leicester lockdown factories 'almost doubled staff' during Covid19 ,1
Coronavirus outbreak in asylum centre criticised for lack of social distancing measures ,0
Met up with friends tonight and it was bloody fantastic! Will never take this stuff for granted again after a very lonely lockdown.,2
Tested for COVID19 negativeHome test kitWhat other crappy virus dare be knocking about with covid on the scene??!Can stop worrying now... and then get back to worrying about catching it ,0
Coronavirus update Follow this diet to reduce your risk of severe symptoms what toeat ,1
Some of yall need this. #COVID19 #COVIDIOTS ,1
Former home secretaries back call for new 'fraud minister' role after billions stolen during pandemic ,2
"Is the NHS perfect? No. Will restructuring when we are recovering from a pandemic amp decades of underfunding improve things? Hells no. We need investment, support amp improvements to social care. Not an ego trip for the PM. UK ",0
Coronavirus How can we make postpandemic cities smarter? ,1
Drunk people might not socially distance? Gasp! Maybe #coronavirusuk lockdown being lifted is not being done in a capable manner! ,0
Birthday celebrations for glenister I cant do this because of Covid... ,1
"This.Now just need apps for all the other companies that have been awful to their staff during lockdown. I'll startSports InDirect,Wilnotko, Ryanairdo wells,SlEasyjet,BAstards #NeverSpoons ",0
"After watching a shit ton of Scifi films, and UFO documentaries during lockdown, someone is gonna have to try and convince me aliens arent real ",1
We knew if we dont do something now just within one week or two week it could be too late because it happens quick. ,0
Tcell immunity and the truth about Covid19 in Sweden The Post ,1
"Coronavirus live news Australia's Victoria state begins weekend in lockdown, France exceeds 30,000 deaths ",0
 resident focus groups on post covid 19 ,1
Day 109 of Lockdown. I need sleep. Sleep where are you? I need twt too. Sweet Bangtan dreams. I closed my eyes and picked a random gif. So here is JK doing what JK does best..looking good. I dont make sense anymore....Im out. Night. ,1
"Hundreds of rich and famous people complaining about being criticised, or 'cancel culture' as they insist on calling itThey sure have their priorities right, during a global pandemicWhat an inspiration",0
"If this guy is released from hospital without having been tested for Covid, what confidence can we have that our Find, Track and Trace system is even close to fit for purpose? ",0
"Fines SHOULD be increased for litter louts, says poll Make them clean it up! Dirty Brits Poll reveals public want fines for littering to be increased.",1
That's me... #FOGOFear Of Going Out!#WearAMask #TheresStillAVirus #Covid19 ,1
Id agree completely. The #Worldometer #Coronavirus page deserves the honour of being the number 1 niche #dating site.Fancy a date? Well meet up next Thursday. 2m apart ,1
Why masks are pointless ,1
Climbing gym due to open soon so now time to cram 3 months worth of lockdown fitness into 2 weeks ,2
Boris Johnson and Dominic Cummings #CareHomeicide #SecondPeak #Secondwave #COVID19 #COVID19 #DominicCummngs #NotMovingOnTillDomIsGone #BORISJOHNSONFAILEDUK #BorisJohnsonFailedTheNation #DominicCummimgsMustGo #COVID19 #NotMovingOn #SackBorisAndDom 4,0
Podcast How have churchgoers coped during the pandemic? ,1
Fml... Did I do an autopsy on family who died from COVID?Done with these idiots. ,0
Ive got my COVID test results back. What a relief its negative. ,2
University of Houston researches create heated air filter that can kill coronavirus 'instantly' gt #technews #technology #news ,1
Why is Australias second biggest city back in #coronavirus lockdown? via et al,1
So. Boris Johnson is looking to gain more political control over NHS England. Disturbing news. Be afraid. Be ve... ,0
"Lets play the Russian roulette! #appalling UK has opted out of EU coronavirus vaccine programme, sources say World news The Guardian ",0
"Cant get back to sleep now so I might as well carry on with American horror story! I only watched up to season 4 then randomly stopped before lockdown. I know theyre on Netflix but if Ive bought all the DVDs, I might as well watch them on dvd. ",1
"In May we wrote to the UK government requesting mandatory face coverings in all public places. Whether we had any effect, were pleased that theyre now considering a proposal to slow the spread of #covid19 #WearAMask ",2
Lockdown has helped heal my mind.Realtalk #PTsD ,2
"Universal Credit Can students claim Universal Credit? UNIVERSAL CREDIT is a Government benefit many have applied for during the coronavirus pandemic, but can students claim Universal Credit? Providing Great Finance Reviews Blog Posts Online. ",1
Says it all when Labour's key message for the North is remember Thatcher's betrayal. No ideas for the North in the 21st century. ,0
A nation that votes for Brexit and COVID19 isn't really a serious nation.,0
"Every dinner time feels like a challenge not to talk about the viruspandemicpolitics and avoid it until someone has a rant, and then coming back to the same conclusions of please dont let the Tories be voted back in next time, what has boris said this time",0
oh they also told me today that my safety net grade which is supposed to mitigate any disadvantage caused by covid will be calculated on the first half of second year bc of my semester abroad whereas everyone elses is based on their whole second year. so mine is from a time,1
Duchess of Cambridgejoined Sir Andy Murray for a video call with schoolchildren to mark what would have been Wimbledon finals weekend.Kate Middleton and Sir Andy shared tennis tips and lockdown stories with pupils from Bond Primary School in Mitcham,1
man really died of COVID to own the libs ,1
Hold a public inquiry into the Government's handling of the Covid19 pandemic #Covid19 Sign the Petition! via ,1
I've criticised Drakeford since he became FM but this pandemic has given me a whole new load of respect for him. ,2
"What the fuck delayed again, this time to sometime 2021, that's a year long delay. And you can't tell me you're gonna blame Covid for that. Refund inc... #EpicFail #MMORPG Thanks also to for the heads up. ",0
Decomposing bodies of elderly couple found in flat months after they died in lockdown ,0
Covid19 news UK has opted out of EU coronavirus vaccine programme ,1
My #Coronavirus #InfectionPreventionAndControlPolicy is in place. Looking forward to seeing my wonderful clients from Monday!!! Keep safe everyone!!! #PostCovid19 #Reopening #SportsMassage #SportsTherapy #MassageTherapy #BeautyTherapy more information at ,2
"If anything, wearing a mask outdoors serves the very important social function of reminding people theres still a pandemic",2
"What this should really say is UK Government falsifies public health data during global pandemic followed by a description of how our shambles of a government are being raked over the coals in the Commons, but nope. ",0
"VACCINE. Monday 18 May.Health Secretary Matt Hancock said the deal with AstraZeneca means that, if the Oxford vaccine works, there will be 100m doses for the UK.#coronavirus disease 2019 COVID19 #COVID19 ",1
"Coronavirus deaths rise by 48 bringing UK total to 44,650 LBC News ",1
Spain holidays Lockdown fear as tourist hotspot on high alert over new coronavirus cases How can UK people fly to Spain with more lockdown news surfacing amp yet you will not allow us to visit the Algarve?!,1
"Played football with my friends for the first time since lockdown started, the disasterclass I dropped.... ",2
"Give pharmacies a bigger NHS role after coronavirus crisis, public says in poll ",1
Coronavirus Government quietly publishes figures which reveal it overstated number of people tested UK News Sky News ,1
"I have resigned myself to not visiting my beloved Florence, Italy this August due to the ongoing COVID19 issues and restrictions, mum is going to move the flights till next year when hopefully things become more settled ",1
"Heres the thing. Sick of sad,bad mongs walking around with masks on covering their mouths but under their noses. Does your shit not go inout of your noses? Get fucking real. #COVID19",0
"Please have a look at this.Most of our children have to return to school in a few weeks. This is not good for them or the teaching staff. They all will be at risk, as will their families.Isn't our government's first duty to protect it's citizens? ",0
"#JollyJohnson could not take control of Pandemic While he was playing #HerdImmunity with Cummings Europe locked down All the Science that HandyCock says he is following points 2cd Spike. Please respect #SARSCoV2 , Treat yourself to 1 day of 5 out .#LiveWithVirus ",0
Who voted for a Covid19 Brexit? #EU,1
Bullet point 3 where it says most likely. Oh and bullet point 2 is helpful!,1
'Jobkiller of the century' economies of Pacific islands face collapse over Covid19 ,1
#takingbackcontrol my arse. This is the reality of #brexit. Under this shit show of a government the UK is nothing more than a lonely outsider who'd cut their nose off to spite their face because they're a fucking idiot. ,0
Saint Saviour Wake Me Live from Lockdown via ,1
"The US recorded over 66,000 new Covid19 cases today the highest daily total for any country in the pandemic.The #SecondWave is already having a major impact on healthcare and that will continue to worsen as the case numbers rise and the lag takes effect. ",1
Theyre saying on the radio the two places I mentioned and Liverpool might go into local lockdown ,1
"Remember how the UK Govt. used to proudly compare our #COVID19 stats to other nations?? Well, we are certainly 'world beating' but in the wrong category... #dontpassthebuck #somethingwentwrong ",0
"Saturday 11th July. No trains are running between South GosforthShiremoor to allow for overhead line work. Trains are running to all other destinations however, a number of services have been cancelled due to staff availability and the pandemic. ",1
Mawpit lockdown on YouTube interview via ,1
At best unhelpful at worst dangerous Manchester leaders blast government processes,0
Watch out for heavy rain and coronavirus. Good luck to everyone affected and infected.#coronavirus #COVID19 ,1
"This new song is out of this world, cant wait to see this man live after lockdown!",2
This webinar aims to explore how the COVID19 pandemic may be affecting women with fibroids and will discuss what women can do to improve their physical and mental health during this challenging period.Speakers ,1
#Sisi is using propaganda tinged with patriotism and tailormade emergency legislation to target people who dare to speak out against the regime writes Ahmad Abdelhalim ,1
"The Adam Price is Right In all seriousness, this is correct. I personally cannot afford a Second spike and return to lockdown conditions with NHS clinics shutdown.Many like me have had to endure through this crisis. We can't do this again for another 4 plus months. ",0
"In Tackling Coronavirus, Scotland Asserts Its Separateness From England NEW YORK TIMES HAS NO CLUE ABOUT THE STATE OF THE USAWITH ITS IDIOT PRESIDENT ..AND KNOWS NOTHING OF THE HOME OF DEMOCRACY GREAT BRITAIN",0
Firm with links to Gove and Cummings given Covid19 contract without open tender do you not think this is sleaze? Do you want to be associated with it? Are you challenging your colleagues? ,0
"We had a little spike of littering on Newbold Comyn post lockdown but pleased to report that compared to other areas in the UK we aren't doing too badly here in Warwick District. There is litter, for sure, but Litter Campaigners of Warwick District, keep the good work up! ",2
"Covid cases are increasing again in the UK. 7 July 352 cases10 July 642 cases. This hasn't made the media headlines. Keep an eye on it yourself. This could get out of hand very quickly. Cases double every 3 days. Please, wear a mask in busy areas.",1
"I do not understand why cancer treatments were not carried on as normal albeit with strict precautions re covid, many people will die when they could have been saved, NHS patients in England face longest waits on record for surgery and cancer care ",0
5bn of UK government coronavirus bailouts given to companies based in tax havens...,1
"Covid, Covid go away, little GD wantd to slay. #BIGBANG #Gdragon #TTTOP #Taeyang #Daesung #Seungri ",1
Coronavirus seriously pulled an Uno reverse on 2020,0
"'Our global leaders today are largely occultists... this manufactured coronavirus is one giant, occult ritual.'#Plandemic ",1
NOLAReady You can now apply for FEMA COVID19 meal program online without calling 311. Spread the word! ,1
Getting rid of fatty tisue in the near future starts by regaining your fitness by using the suggestions simplified inside of this training ,1
"Really want to big up . Since the first day of lockdown he's streamed on twitch pretty much all day, every day. Sharing production techniques, giving advice on viewer uploaded tracks and just general banter. All round positive vibes. hanks Kyle",2
UK could face second lockdown within months as outbreaks occur across the nation #BorisHasFailedUK Vox Political ,1
When the office opens after four months of lockdown you tell your boss youre now having two whole weeks off as holiday #ShirleyValentine ,1
"Wirral's members of the UK Youth Parliament, Emily amp Olivia made this helpful video about the support for young people in Wirral during the pandemic. Thanks girls for signposting to the both did a fab job! Proud of you! ",2
the worst part ab working in a bar in this pandemic is hearing ill have a corona please but hold the virus 80 times a shift and forcing a laugh. painful,0
Hes been right from the beginning before Lockdown ,1
Tui has introduced Covid19 cover to be included for all customers travelling until December 31 and announces summer programme expansionMore ,1
Just found out that my uncle tested positive for #coronavirus . He is in his late 60s... Send some positive energy his way please.,1
Coronavirus Fact and fiction as US cases near 3.2M via FOX NEWS ,1
Florida reports second highest oneday coronavirus infection rate via FOX NEWS ,1
UK travel companies 'must comply with laws on refunds or face legal action' ,1
"This is a oneoff payment of 1,000 to employers that have used the Coronavirus Job Retention Scheme CJRS for each furloughed employee who remains continuously employed until 31 January 2021. The bonus will provide additional support to retain employees. #UnitedKingdom ",1
UK poised to shun EU coronavirus vaccine scheme ,0
"Covid19 can spread through the air indoors, scientists say ",1
"The most selfish irresponsible driving Ive seen since lockdown. This car drove at pace into #Kingston gate, ignored the security guard who tried to turn her away. Narrowly missed the first cyclists, again enroute out a much larger group including children and walkers. #ratrun ",0
"Ten years of Conservative government, a shiny new opposition and pandemic later....... ",0
"Three too many, it is time for to end the lockdown and go speak to the Scottish people about the UK. ",1
"The spokesman for Iran's Ministry of Health Since yesterday, 2262 new cases of #COVID19 have been confirmed in #Iran and 142 patients lost their lives.",1
"Most Virtual Care Consumers, Satisfied With Visits in the COVID Era, Expect It for Future Care via ",1
"BBC News Coronavirus Emirates set to cut 9,000 jobs ",1
Firm with links to Gove and Cummings given Covid19 contract without open tender. Once again the stench of grift surrounds The Tories......But theyre good friends of ours amp will do a good job. And of course well share a couple of bottles of nice wine! ,0
Does anyone remember Health Action Zones late 1990s? Hard to keep up with serial reorganisation of the #NHS Hard to believe yet another reorganisation planned during a pandemic.,0
COVID19 The Next Wave NHK Documentary NHK WORLDJAPAN On Demand ,1
"Alans starbucks surprise, Frappe. #starbucks #drivethrough #Takeaway #fridaynight #kfc #McDonalds #burgerking #Lockdown3 #lockdown #lockdownextension #Rnumber #animation #animated #Animatedvideos #QuarantineLife 5",1
"lockdown or not, Carrey is just awesome ",2
This app was finished from when two boys were doing up battle of the sex tapes at like 4am at the start of lockdown ,1
Around 5x more kids died of flu than covid. Mask up every winter? ,1
Mr Hancock claimed the UK's vaccine procurement scheme was 'further ahead' of the EU's ,1
"WHO says it can't rule out airborne spread of COVID19, so what does this change? ",1
 Obviously the Great British Brexit Omnishambles is more important than securing Covid vaccines. Absolute disgrace. ,0
"By the time Leicester gets out of lockdown the countrys going to be going back into it, smh",1
"'Lockdowns are little more than social isolation rituals, performed for the purpose of purifying the initiate so he can enter the new order unimpeded by things of the past no longer considered, by the powersthatbe, to be beneficial.' #plandemic",1
Lockdown got trump 3 million more supporters you think the sleepy are WQKING UP ???? HELL YES #WWG1WGAWORLDWIDE,1
Vikas Kumar is from Delhi..story of all frontline covid workers...isolating from family after work ,1
"Once the pandemic has finally passed, I will turn to my dog and say Just you and me now left alive except i don't have a dog. The End.",0
Essential service!Coronavirus How libraries provided a lifeline in lockdown ,1
Flurry of covid baby announcements begins. Bet the midwives cant wait ,1
One part of lockdown that I really miss is not having drunk people sit opposite my house for hours chatting after leaving the pub. There has been a break up and two fights. ,0
Just wanted to give a shoutout to for keeping me sane during lockdown. Times Remembered specifically has been warming my heart of late,2
"Ten years of cuts, one major reform, two minor reforms, one Brexit and one pandemic.But what the NHS apparently really needs right now is more restructuring. ",0
"Populism prevails.You were lied to.The government said its top priority was finding a vaccine to Covid19.Instead, it picked Brexit over the lives of millions.Stay alert, don't vote Tory, save lives.",0
If you want confirmation of how corrupt this government is then read this,0
WHO Coronavirus Disease COVID19 Dashboard WHO Coronavirus Disease COVID19 Dashboard ,1
I just cosigned a letter with 110 MPs and Peers calling on the Chancellor to introduce a Universal #BasicIncome to help everyone in Britain recover and rebuild after #COVID19. Support this important action gt add your name here ,2
Map of coronavirus travel restrictions via ,1
Cocktails anyone ? Here is our amazing front of house gal Nicole! Shes spent her time in lockdown dying her hair the brightest colours ! #lovelounging #tintolounge #cocktails #pineapplepartini ,2
Tories STILL have no strategy to provide PPE in coming second wave of Covid19 Vox Political ,0
"By muzzle, I think you mean a face covering. It has been proven to reduce the spread of a novel coronavirus.Yes, I do support wearing a face covering that reduces transmission of a virus linked to the deaths of half a million people. My bad for not wanting to catch it. ",1
Lockdown Watchlist Jason Isaacs shares what hes streaming while stuck indoors ,1
"Brazil has suffered another 1,214 deaths and registered 45,048 additional cases in 24 hours, its health ministry has said. The nation has now registered 1,800,827 total confirmed cases and 70,398 deaths.#coronavirus disease 2019 COVID19 #COVID19 #Brazil ",1
"Omo, I need to start shifting this lockdown weight. ",1
WHO's Covid19 inquiry is a shrewd move in a sea of disinformation ,1
"Internal messages reveal crisis at Houston hospitals as #coronavirus cases surge What worries me is not this week, where were still kind of handling it, a hospital leader said. Im really worried abt next week via Hixenbaugh amp ",0
Study of Coronavirus in Pregnant Women Finds Striking Racial Differences via NYT ,1
My beer gut from lockdown ,1
Britain will opt out EU coronavirus vaccine scheme via ,1
Young Gaza amputees play soccer again after coronavirus curbs eased ,2
