tweet_text,label
jesus actually spend money save alcohol taxi last week ahahaha,1
throat cancer look mental health throat cancer foundation,1
sick home houston w symptom right,1
"prompt record drop global emission , study find",1
"make postpandemic city smarter ? anthropause bring make city greener , clean quieter future ?",1
nearly 70000 new case # today usaalmost certainty next week consider daily record break nearly every day week,0
"look back year 2035 , revolutionize medicine transform way world connect ? read jerry edlings chapter medical enlightenmentthe view 2035 . # aftershock",1
miss live wake next call stupid make bearable,1
china wear mask since day sill high case . people,0
leicester still,1
bitter battle ? one declutterer hoarder,1
break new unknown virus deadlier spread across china,1
people really still ignore middle global lol piss,1
"ease resume life let ' forget continue serve # nhs , school , clean building , deliver food , care home , well many unsung hero selflessly stop fight # thankyou",2
update . little musical device buy experience understanding give much peace joy . every minute spend like little bit kindness send straight soul . thank calm .,2
go fully privatize . people want . want us base system wherea test cost 9 000 50 discount . welcome tory britain . boris johnson plan radical shakeup nhs bid regain direct control,0
"ur well always use good word speak resort insult , name call harshness . even important age internet . 2day , many give second thought say write . # bluelivesmatter # public # coronaviru # uk",2
think first bump back .,1
"u.s. report 60,500 new case new oneday worldwide record keep border close",1
"love idea giovanni , big evil boss man team rocket , kinda chill hot air balloon right",1
meat plant new front line,1
anyone suggest ghislaine maxwell solitary confinement may way avoid ' significant ' risk ?,0
firm link gove cummings give contract without open tender,0
mask ? way .. know cause 5 g protect shitty data plan .,0
"know , could extend free school meal programme cover whole primary school ? dd back packed lunch since , fortunately fine us struggle many . like , september , ? would lovely .",1
london city take ' summersun ' airport,1
brilliant . well spend sure ...,2
first post 01012020 britains death knell # # # coronavirusuk # # dailybriefinguk # lockdownextended # # selfisolation # selfisolate # selfisolate # quarantinelife # quarantine # borisjohnson # ppe 47,1
"clueless uk government official unsure bring news # , say",0
"national coin shortage penny , nickel , dime quarter part late shortage",1
"unconvince need limit eligibility another round economic aid check people make less 40,000 annually ,",1
"ban close relative funeral wrong , admit matt hancock",0
nonsense . always wear mask shop . especially small shop . responsible thing . want anybody else thank .,2
sympathise receive information yesterday . wales small medium pool prior potential loss many talented journalist see shrink . detrimental effect industry .,0
"say virus spread indoor , suggest reverse people lock home 100 day . # controlavirus",1
truly blessing disguise,2
feel like make boring,0
' fall price pay product lead substantial decline pay rate working condition past 10 year ' bbc news leicester factory ' almost double staff ',1
outbreak asylum centre criticise lack social distancing measure,0
meet friend tonight bloody fantastic ! never take stuff grant lonely .,2
test negativehome test kitwhat crappy virus dare knock scene? ? ! stop worry ... get back worry catch,0
update follow diet reduce risk severe symptom toeat,1
need . # # covidiot,1
former home secretary back call new ' fraud minister ' role billion steal,2
"nhs perfect ? . restructure recover decade underfunde improve thing ? hell . need investment , support improvement social care . ego trip pm . uk",0
make postpandemic city smarter ?,1
drunk people may socially distance ? gasp ! maybe # coronavirusuk lift capable manner !,0
birthday celebration glenister ...,1
". need app company awful staff . startsport indirect , wilnotko , ryanairdo well , sleasyjet , bastards # neverspoon",0
"watch shit ton scifi film , ufo documentary , someone go try convince alien real",1
know something within one week two week could late happen quick .,0
tcell immunity truth sweden post,1
"live news australia ' victoria state begin weekend , france exceed 30,000 death",0
resident focus group post 19,1
day 109 . need sleep . sleep ? need twt . sweet bangtan dream . close eye pick random gif . jk jk well .. look good . make sense anymore .... im . night .,1
"hundred rich famous people complain criticise , ' cancel culture ' insist call itthey sure priority right , global pandemicwhat inspiration",0
"guy release hospital without test , confidence find , track trace system even close fit purpose ?",0
"fine increase litter lout , say poll make clean ! dirty brits poll reveal public want fine litter increase .",1
... # fogofear go ! #wearamask # theresstillavirus #,1
agree completely . # worldometer # page deserve honour number 1 niche # date site . fancy date ? well meet next thursday . 2 apart,1
mask pointless,1
climb gym due open soon time cram 3 month worth fitness 2 week,2
boris johnson dominic cumming # carehomeicide # secondpeak # secondwave # # # dominiccummngs # notmovingontilldomisgone # borisjohnsonfaileduk # borisjohnsonfailedthenation # dominiccummimgsmustgo # # notmovingon # sackborisanddom 4,0
podcast churchgoer cope ?,1
fml ... autopsy family die covid?done idiot .,0
get test result back . relief negative .,2
university houston research create heated air filter kill ' instantly ' gt # technew # technology # news,1
australias second big city back # ? et al,1
. boris johnson look gain political control nhs england . disturb news . afraid . ...,0
"let play russian roulette ! # appalling uk opt eu vaccine programme , source say world news guardian",0
"get back sleep may well carry american horror story ! watch season 4 randomly stop . know netflix buy dvd , may well watch dvd .",1
"may write uk government request mandatory face covering public place . whether effect , pleased consider proposal slow spread # # wearamask",2
help heal mind . realtalk # ptsd,2
"universal credit student claim universal credit ? universal credit government benefit many apply , student claim universal credit ? provide great finance reviews blog posts online .",1
say labour ' key message north remember thatcher ' betrayal . idea north 21st century .,0
nation vote brexit really serious nation .,0
"every dinner time feel like challenge talk viruspandemicpolitic avoid someone rant , come back conclusion please let tories vote back next time , boris say time",0
oh also tell today safety net grade suppose mitigate disadvantage cause calculate first half second year bc semester abroad whereas everyone else base whole second year . mine time,1
duchess cambridgejoined sir andy murray video call schoolchildren mark would wimbledon final weekend . kate middleton sir andy share tennis tip story pupil bond primary school mitcham,1
man really die libs,1
hold public inquiry government ' handling # sign petition !,1
criticise drakeford since become fm give whole new load respect .,2
"fuck delay , time sometime 2021 , year long delay . tell go blame . refund inc ... # epicfail # mmorpg thank also head .",0
decompose body elderly couple find flat month die,0
news uk opt eu vaccine programme,1
# # infectionpreventionandcontrolpolicy place . look forward see wonderful client monday ! ! ! keep safe everyone ! ! ! # postcovid19 # reopen # sportsmassage # sportstherapy # massagetherapy # beautytherapy information,2
"anything , wear mask outdoors serve important social function remind people still",2
"really say uk government falsify public health datum global follow description shamble government rake coal commons , nope .",0
"vaccine . monday 18 may . health secretary matt hancock say deal astrazeneca mean , oxford vaccine work , 100 dose uk.#coronavirus disease 2019 #",1
"death rise 48 bring uk total 44,650 lbc news",1
spain holiday fear tourist hotspot high alert new case uk people fly spain news surface yet allow us visit algarve ? !,1
"play football friend first time since start , disasterclass drop ....",2
"give pharmacy big nhs role crisis , public say poll",1
government quietly publish figure reveal overstate number people test uk news sky news,1
"resign visit beloved florence , italy august due ongoing issue restriction , mum go move flight till next year hopefully thing become settled",1
"thing . sick sad , bad mong walk around mask cover mouth nose . shit go inout nose ? get fuck real . #",0
"please look . child return school week . good teaching staff . risk , family . ' government ' first duty protect citizen ?",0
"# jollyjohnson could take control play # herdimmunity cummings europe lock science handycock say follow point 2cd spike . please respect # sarscov2 , treat 1 day 5 .#livewithvirus",0
vote brexit ? # eu,1
bullet point 3 say likely . oh bullet point 2 helpful !,1
' jobkiller century ' economy pacific island face collapse,1
# takingbackcontrol arse . reality # brexit . shit show government uk nothing lonely outsider ' cut nose spite face fucking idiot .,0
saint saviour wake live,1
"us record 66,000 new case today high daily total country . # secondwave already major impact healthcare continue worsen case number rise lag take effect .",1
say radio two place mention liverpool may go local,1
"remember uk govt . use proudly compare # stat nation ? ? well , certainly ' world beating ' wrong category ... # dontpassthebuck # somethingwentwrong",0
"saturday 11th july . train run south gosforthshiremoor allow overhead line work . train run destination however , number service cancel due staff availability .",1
mawpit youtube interview,1
well unhelpful bad dangerous manchester leader blast government process,0
watch heavy rain . good luck everyone affect infected.#coronaviru #,1
"new song world , wait see man live !",2
webinar aim explore may affect woman fibroid discuss woman improve physical mental health challenging period . speaker,1
# sisi use propaganda tinge patriotism tailormade emergency legislation target people dare speak regime write ahmad abdelhalim,1
"adam price right seriousness , correct . personally afford second spike return condition nhs clinic shutdown . many like endure crisis . another 4 plus month .",0
"tackling , scotland assert separateness england new york times clue state usawith idiot president .. knows nothing home democracy great britain",0
firm link gove cummings give contract without open tender think sleaze ? want associate ? challenge colleague ?,0
"little spike litter newbold comyn post please report compare area uk badly warwick district . litter , sure , litter campaigners warwick district , keep good work !",2
"case increase uk . 7 july 352 cases10 july 642 case . make medium headline . keep eye . could get hand quickly . case double every 3 day . please , wear mask busy area .",1
"understand cancer treatment carry normal albeit strict precaution , many people die could save , nhs patient england face long wait record surgery cancer care",0
5bn uk government bailout give company base tax ...,1
", go away , little gd wantd slay . # bigbang # gdragon # tttop # taeyang # daesung # seungri",1
seriously pull uno reverse 2020,0
"' global leader today largely occultist ... manufacture one giant , occult ritual . ' #plandemic",1
nolaready apply fema meal program online without call 311 . spread word !,1
get rid fatty tisue near future start regain fitness use suggestion simplify inside training,1
"really want big . since first day stream twitch pretty much day , every day . share production technique , give advice viewer uploaded track general banter . round positive vibe . hank kyle",2
uk could face second within month outbreak occur across nation # borishasfaileduk vox political,1
office open four month tell boss two whole week holiday # shirleyvalentine,1
"wirral ' member uk youth parliament , emily olivia make helpful video support young people wirral . thank girl signpost fab job ! proud !",2
bad part ab work bar hear ill corona please hold virus 80 time shift force laugh . painful,0
right beginning,1
tui introduce cover include customer travel december 31 announce summer programme expansionmore,1
find uncle test positive # . late 60 ... send positive energy way please .,1
fact fiction us case near 3.2 fox news,1
florida report second high oneday infection rate fox news,1
uk travel company ' must comply law refund face legal action ',1
"oneoff payment 1,000 employer use job retention scheme cjrs furlough employee remain continuously employ 31 january 2021 . bonus provide additional support retain employee . # unitedkingdom",1
uk poise shun eu vaccine scheme,0
"spread air indoor , scientist say",1
"selfish irresponsible driving see since . car drive pace # kingston gate , ignore security guard try turn away . narrowly miss first cyclist , enroute much large group include child walker . # ratrun",0
"ten year conservative government , shiny new opposition later .......",0
"three many , time end go speak scottish people uk .",1
"spokesman iran ' ministry health since yesterday , 2262 new case # confirm # iran 142 patient lose life .",1
"virtual care consumer , satisfied visit era , expect future care",1
"bbc news emirates set cut 9,000 job",1
firm link gove cummings give contract without open tender . stench grift surround tories ...... good friend good job . course well share couple bottle nice wine !,0
anyone remember health action zones late 1990 ? hard keep serial reorganisation # nhs hard believe yet another reorganisation plan .,0
next wave nhk documentary nhk worldjapan demand,1
"alans starbuck surprise , frappe . # starbuck # drivethrough # takeaway # fridaynight # kfc # mcdonalds # burgerke # lockdown3 # # lockdownextension # rnumber # animation # animate # animatedvideos # quarantinelife 5",1
", carrey awesome",2
app finish two boy battle sex tape like 4 a.m. start,1
around 5x kid die flu . mask every winter ?,1
mr hancock claim uk ' vaccine procurement scheme ' ahead ' eu ',1
"say rule airborne spread , change ?",1
obviously great british brexit omnishambles important secure vaccine . absolute disgrace .,0
"time leicester get countrys go go back , smh",1
"' little social isolation ritual , perform purpose purify initiate enter new order unimpede thing past long consider , powersthatbe , beneficial . ' # plandemic",1
get trump 3 million supporter think sleepy wqke ? ? ? ? hell yes # wwg1wgaworldwide,1
vikas kumar delhi .. story frontline worker ... isolate family work,1
"finally pass , turn dog say leave alive except dog . end .",0
essential service ! library provide lifeline,1
flurry baby announcement begin . bet midwife wait,1
one part really miss drunk people sit opposite house hour chat leave pub . break two fight .,0
want give shoutout keep sane . times remembered specifically warm heart late,2
"ten year cut , one major reform , two minor reform , one brexit one . nhs apparently really need right restructuring .",0
"populism prevail . lie . government say top priority find vaccine covid19.instead , pick brexit life million . stay alert , vote tory , save life .",0
want confirmation corrupt government read,0
disease dashboard disease dashboard,1
cosign letter 110 mp peers call chancellor introduce universal # basicincome help everyone britain recover rebuild # . support important action gt add name,2
map travel restriction,1
cocktail anyone ? amazing front house gal nicole ! spend time die hair bright colour ! # lovelounge # tintolounge # cocktail # pineapplepartini,2
tory still strategy provide ppe come second wave vox political,0
"muzzle , think mean face cover . prove reduce spread novel . yes , support wear face cover reduce transmission virus link death half million people . bad want catch .",1
watchlist jason isaacs share streaming stuck indoor,1
"brazil suffer another 1,214 death register 45,048 additional case 24 hour , health ministry say . nation register 1,800,827 total confirm case 70,398 deaths.#coronavirus disease 2019 # # brazil",1
"omo , need start shift weight .",1
' inquiry shrewd move sea disinformation,1
"internal message reveal crisis houston hospital # case surge worry week , still kind handle , hospital leader say . really worried abt next week hixenbaugh",0
study pregnant woman find strike racial difference nyt,1
beer gut,1
britain opt eu vaccine scheme,1
young gaza amputee play soccer curb ease,2
september teach part week english secondary school part scottish high school return follow . autoethnographic direct comparison study could ! ! !,1
# biometric help combat safety concern ? # facebiometrics # facialrecognition # selfie # tech # # coronaviru # bitcenter # farfaces # popfaces,1
"final sports show podcast . privilege world good rugby ref . hear cope , life farm , consider good game reffe , favourite player much .",2
"kentucky , us update 1007 2155 utc # usa # health",1
want forever diet try kind video presentation,1
size . britpricks concerned rentseeke corporate behemoth mold nhs spinoff .,0
"opinion legal challenge may fail , keep fight",1
"well understand symbolism wear mask , try type word censorship google images see kind illustration predominantly come . ' steve barwick # plandemic",0
study pregnant woman find strike racial difference katherine j. wu nyt,1
alan interview prime minister boris johnson . # anothernoshowbojo # borisjohnson # # covididiot # onlywhenitssafe # coronaviru # coronavirusuk # staysafe # stayhomesavelives # stayathome # animation # animate 52,1
apparently country manage crisis well rest world happen run woman tell please ? ?,1
"# prompt record drop global emission , study find",1
probably talk lazy bastard hour week best ! boris johnson order brits back work say ' love ',0
love,2
awful news ... 70 medium wales journalist ' risk redundancy ',0
